# 41 unique local-operation execution units derived from the 52 candidate rows
# 23 unique mapping methods; shared common contracts remain grouped to prevent duplicate implementation
# implementation remains unapproved until the user approves this checklist
local_operation	exchanges	owner	coverage_states	mapping_methods	official_row_count	official_operations	exposures	coverage_locators	rust_locators	verification	implementation_scope	approval_state
exchange.test_order	Upbit	upbit_owner	Partial	test_order	1	Upbit | Exchange | Http | POST | /v1/orders/test | order-test	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/upbit/mod.rs:1330	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
info.all_mids	Hyperliquid	hyperliquid_owner	Partial	all_mids	1	Hyperliquid | Info endpoint | Http | POST | /info type=allMids | allMids	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/hyperliquid/mod.rs:438	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
info.clearinghouse_state	Hyperliquid	hyperliquid_owner	Partial	margin_summary;positions	1	Hyperliquid | Perpetuals info | Http | POST | /info type=clearinghouseState | clearinghouseState	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:275;src/adapter.rs:281	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
info.frontend_open_orders	Hyperliquid	hyperliquid_owner	Partial	open_orders	1	Hyperliquid | Info endpoint | Http | POST | /info type=frontendOpenOrders | frontendOpenOrders	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:205	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
info.meta	Hyperliquid	hyperliquid_owner	Partial	markets	1	Hyperliquid | Perpetuals info | Http | POST | /info type=meta | meta	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:44	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
info.meta_and_asset_contexts	Hyperliquid	hyperliquid_owner	Partial	asset_context;ticker	1	Hyperliquid | Perpetuals info | Http | POST | /info type=metaAndAssetCtxs | metaAndAssetCtxs	common_and_provider	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:62;src/adapters/hyperliquid/mod.rs:421	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
quotation.candle_stream	Upbit	upbit_owner	Partial	subscribe	1	Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=candle.{unit} | candle.{unit}	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
quotation.orderbook	Bithumb	bithumb_owner	Partial	order_book	1	Bithumb | Quotation | Http | GET | /v1/orderbook | 호가-조회	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:56	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
quotation.orderbook_stream	Bithumb;Upbit	common_contract	Partial	subscribe	2	Bithumb | Quotation | WebSocketStream | SUBSCRIBE | type=orderbook | orderbook || Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=orderbook | orderbook	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
quotation.ticker_stream	Bithumb;Upbit	common_contract	Partial	subscribe	2	Bithumb | Quotation | WebSocketStream | SUBSCRIBE | type=ticker | ticker || Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=ticker | ticker	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
quotation.trade_stream	Bithumb;Upbit	common_contract	Partial	subscribe	2	Bithumb | Quotation | WebSocketStream | SUBSCRIBE | type=trade | trade || Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=trade | trade	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.aggregate_trades	Binance	binance_owner	Partial	aggregate_trades	1	Binance | Spot REST | Http | GET | /api/v3/aggTrades | aggTrades	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/binance/mod.rs:644	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.cancel_order	Binance	binance_owner	Partial	cancel_order;cancel_order_by_client_id	1	Binance | Spot REST | Http | DELETE | /api/v3/order | deleteOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:250;src/adapter.rs:256	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.kline_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@kline_{interval} | kline	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.new_order	Binance	binance_owner	Partial	place_order	1	Binance | Spot REST | Http | POST | /api/v3/order | newOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:244	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.partial_book_depth_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@depth{levels}@{updateSpeed} | partialBookDepth	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.ticker_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@ticker | ticker	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.trade_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@trade | trade	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
spot.user_data_stream_signature	Binance	binance_owner	Partial	subscribe_account	1	Binance | Spot WebSocket | WebSocketRequest | POST | /userDataStream.subscribe.signature | userDataStreamSubscribeSignature	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:238	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
usd_m.aggregate_trade_stream	Binance	binance_owner	Planned	aggregate_trades	1	Binance | Futures (USDⓈ-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@aggTrade | aggregateTradeStreams	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/binance/mod.rs:644	Documented	고정 후보; 목록 밖 추가 금지	Blocked: 공용 MarketEvent가 집계 체결의 fill ID 범위를 보존하지 못함; 억지 변환·새 공개 API 금지
usd_m.aggregate_trades	Binance	binance_owner	Partial	aggregate_trades	1	Binance | Futures (USDⓈ-M) REST | Http | GET | /fapi/v1/aggTrades | compressedAggregateTradesList	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/binance/mod.rs:644	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
usd_m.cancel_order	Binance	binance_owner	Partial	cancel_order;cancel_order_by_client_id	1	Binance | Futures (USDⓈ-M) REST | Http | DELETE | /fapi/v1/order | cancelOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:250;src/adapter.rs:256	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
usd_m.kline_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Futures (USDⓈ-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@kline_{interval} | klineCandlestickStreams	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
usd_m.new_order	Binance	binance_owner	Partial	place_order	1	Binance | Futures (USDⓈ-M) REST | Http | POST | /fapi/v1/order | newOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:244	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
usd_m.partial_book_depth_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Futures (USDⓈ-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@depth{levels}@{updateSpeed} | partialBookDepthStreams	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
usd_m.ticker_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Futures (USDⓈ-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@ticker | individualSymbolTickerStreams	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
wallet.cancel_withdrawal	Bithumb;Upbit	common_contract	Partial	cancel_withdrawal	2	Bithumb | Deposits and withdrawals | Http | DELETE | /v1/withdraws/coin | 가상-자산-출금-취소 || Upbit | Deposits and withdrawals | Http | DELETE | /v1/withdraws/coin | cancel-withdrawal	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:184	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
wallet.deposit	Bithumb;Upbit	common_contract	Partial	deposit	2	Bithumb | Deposits and withdrawals | Http | GET | /v1/deposit | 개별-입금-조회 || Upbit | Deposits and withdrawals | Http | GET | /v1/deposit | get-deposit	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:172	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
wallet.withdrawal	Bithumb;Upbit	common_contract	Partial	withdrawal	2	Bithumb | Deposits and withdrawals | Http | GET | /v1/withdraw | 개별-출금-조회 || Upbit | Deposits and withdrawals | Http | GET | /v1/withdraw | get-withdrawal	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:178	Fixture	고정 후보; 목록 밖 추가 금지	사용자 승인 대기; 구현 미승인
