# Upbit curated coverage-to-official catalog bridge
# baseline_date: 2026-08-10
# local_source: bindings/common/src/coverage.rs OPERATIONS (57 Upbit rows)
# official_sources: upbit-2026-08-10.tsv (47 Global rows), upbit-korea-2026-08-10.tsv (10 Korea-only rows)
# columns: local_product	local_operation_id	official_product	official_interface	official_method	official_path_or_message	official_operation_id	mapping_note
wallet	cancel_withdrawal	Deposits and withdrawals	Http	DELETE	/v1/withdraws/coin	cancel-withdrawal	official_product_is_deposits_and_withdrawals
wallet	deposits	Deposits and withdrawals	Http	GET	/v1/deposits	list-deposits	official_product_is_deposits_and_withdrawals
wallet	deposit	Deposits and withdrawals	Http	GET	/v1/deposit	get-deposit	official_product_is_deposits_and_withdrawals
wallet	withdrawals	Deposits and withdrawals	Http	GET	/v1/withdraws	list-withdrawals	official_product_is_deposits_and_withdrawals
travel_rule	travel_rule_vasps	Travel Rule	Http	GET	/v1/travel_rule/vasps	list-travelrule-vasps	exact
travel_rule	travel_rule_verify_uuid	Travel Rule	Http	POST	/v1/travel_rule/deposit/uuid	verify-travelrule-by-uuid	exact
travel_rule	travel_rule_verify_txid	Travel Rule	Http	POST	/v1/travel_rule/deposit/txid	verify-travelrule-by-txid	exact
wallet	deposit_krw	Korea deposits and withdrawals	Http	POST	/v1/deposits/krw	deposit-krw	official_product_is_korea_deposits_and_withdrawals
wallet	withdraw_krw	Korea deposits and withdrawals	Http	POST	/v1/withdraws/krw	withdraw-krw	official_product_is_korea_deposits_and_withdrawals
wallet	api_keys	Korea deposits and withdrawals	Http	GET	/v1/api_keys	list-api-keys	official_product_is_korea_deposits_and_withdrawals
pockets	list_pockets	Korea pockets	Http	GET	/v1/pockets	list-pockets	official_product_is_korea_pockets
pockets	list_pocket_api_keys	Korea pockets	Http	GET	/v1/pockets/api_keys	list-pocket-api-keys	official_product_is_korea_pockets
pockets	sub_pocket_balances	Korea pockets	Http	GET	/v1/pockets/assets	get-sub-pocket-balance	official_product_is_korea_pockets
pockets	universal_transfer	Korea pockets	Http	POST	/v1/pockets/universal_transfers	universal-transfer	official_product_is_korea_pockets
pockets	universal_transfers	Korea pockets	Http	GET	/v1/pockets/universal_transfers	list-universal-transfers	official_product_is_korea_pockets
pockets	sub_pocket_transfer	Korea pockets	Http	POST	/v1/pockets/transfers	transfer	official_product_is_korea_pockets
pockets	sub_pocket_transfers	Korea pockets	Http	GET	/v1/pockets/transfers	list-transfers	official_product_is_korea_pockets
